IME>;<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
13,09,2019 8:37:38;10450,1;11805,77764878;1806977,27866667;10450,10000001;263,47745745;3739671,65938369
13,09,2019 8:38:40;10445,94158554;11805,75248997;1806723,1678877;10448,01;263,7783516;3742813,35012753
13,09,2019 8:39:41;10444,9504449;11805,76607957;1806867,18984073;10445,94158553;263,55872962;3740520,86451378
13,09,2019 8:40:43;10438,57330364;11805,50538304;1805059,22265297;10440;264,02112755;3744573,67684069
13,09,2019 8:41:44;10437,82;11805,60443703;1806214,89009282;10440;263,96886649;3744021,21042851
13,09,2019 8:42:45;10444,47;11805,59606685;1806179,06668414;10445,94158553;263,63648614;3740541,49338561
13,09,2019 8:43:47;10442,4804425;11805,77085024;1808005,58526087;10445,66;263,50825822;3739198,76038355
13,09,2019 8:44:48;10443,25;11805,72128262;1807770,61154969;10445,94158553;263,5319294;3739452,21506116
13,09,2019 8:45:49;10442,59;11805,77782759;1808360,09307264;10444,16;263,70579801;3741277,23521713
13,09,2019 8:46:50;10444,1704442;11805,74999606;1808085,3746583;10445,94158553;263,32925604;3737355,21761686
13,09,2019 8:47:52;10443;11805,60883443;1806625,08328322;10445;263,21935724;3736204,41849066
13,09,2019 8:48:53;10444;11805,59465806;1806482,02477654;10445;263,48751659;3739024,38986131
13,09,2019 8:49:54;10444;11805,71048629;1807686,3708007;10445;263,33379723;3737410,33402683
13,09,2019 8:50:56;10446;11805,83485306;1808976,5702133;10450,10000001;263,15747588;3735545,24082262
13,09,2019 8:51:57;10446;11805,7568468;1808185,53500376;10450,10000001;263,48638407;3739008,31022461
13,09,2019 8:52:58;10446;11805,76372598;1808256,49114661;10450,10000001;263,48277249;3738967,95101219
13,09,2019 8:54:00;10444,57;11805,76438506;1808256,16662459;10450,10000001;263,79423983;3742221,36785247
13,09,2019 8:55:01;10445,57;11805,79376737;1808563,84260874;10450,10000001;263,59896192;3740373,50424103
13,09,2019 8:56:02;10444,57;11805,90968062;1809871,74439302;10450,10000001;263,1140297;3735159,23045955
13,09,2019 8:57:04;10443;11805,88525983;1809617,50749077;10443,58;263,45677476;3738740,30419256
13,09,2019 8:58:05;10443;11805,76931767;1808407,38575793;10443,66;262,96358756;3733578,37816137
13,09,2019 8:59:06;10443;11805,92654449;1810050,16143563;10443,44;263,7987933;3742514,66264801
13,09,2019 9:00:08;10443;11805,83243414;1809043,29231664;10443,44;263,88817654;3743430,87550332
13,09,2019 9:01:09;10443;11805,72201485;1807896,35397163;10444,57;263,89555015;3743502,34643239
13,09,2019 9:02:11;10443;11805,87135516;1809455,88570108;10444,57;263,81072257;3742605,018577
13,09,2019 9:03:12;10443;11805,94669392;1810002,47673788;10444,57;263,45220377;3738835,72563311
13,09,2019 9:04:13;10428,19810326;11805,40922848;1804464,88747288;10437,09;263,56904703;3740028,21467719
