<DATEandTIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
0.5;0.498000;0.5;0.502000;0.503
0.5;0.503;0.500999;0.502000;0.5
0.5;0.5;0.502000;0.503;0.501999
0.5;0.501999;0.500999;0.542999;0.483000
0.5;0.483000;0.5;0.454000;0.518999
0.5;0.518999;0.500999;0.503;0.499000
0.5;0.499000;0.499000;0.497;0.498999
0.5;0.498999;0.497999;0.546599;0.499000
0.5;0.5;0.5;0.5;0.5
0.5;0.499000;0.5;0.448399;0.496000
0.5;0.499000;0.498000;0.502000;0.439
0.5;0.497999;0.500999;0.497999;0.561
0.5;0.499000;0.497;0.502000;0.498999
0.5;0.498999;0.499000;0.497999;0.498000
0.5;0.498000;0.497999;0.497;0.500999
0.5;0.525999;0.524999;0.545699;0.499000
0.5;0.474000;0.474000;0.491300;0.498999
0.5;0.498999;0.501999;0.5;0.503
0.5;0.502000;0.5;0.508699;0.498000
0.5;0.499000;0.499000;0.5;0.497
0.5;0.501999;0.502000;0.452300;0.486999
0.5;0.481000;0.500999;0.507000;0.520000
0.5;0.521000;0.5;0.546399;0.5
0.5;0.500999;0.500999;0.451599;0.497999
0.5;0.497;0.5;0.5;0.501000
0.5;0.501000;0.502000;0.502000;0.5
0.5;0.5;0.499000;0.497999;0.5
0.5;0.5;0.501999;0.503;0.503
0.5;0.503;0.498000;0.545999;0.5
0.5;0.4831;0.5;0.451000;0.497999
0.5;0.5139;0.516999;0.548200;0.497
0.5;0.497999;0.478999;0.4818;0.5
0.5;0.5;0.5;0.466999;0.499000
0.5;0.499000;0.498000;0.497999;0.494999
0.5;0.494999;0.497999;0.493000;0.5
0.5;0.5;0.500999;0.491999;0.465000
0.5;0.465000;0.487000;0.497;0.525999
0.5;0.524999;0.500999;0.507000;0.5
0.5;0.500999;0.532000;0.501999;0.487000
0.5;0.487000;0.5;0.537000;0.490000
0.5;0.490000;0.5;0.497999;0.497999
0.5;0.497999;0.494;0.497999;0.499000
0.5;0.499000;0.498800;0.496000;0.521999
0.5;0.521999;0.486999;0.503;0.498999
0.5;0.498999;0.501100;0.497;0.5
0.5;0.519000;0.500100;0.497;0.504000
0.5;0.484999;0.5351;0.503;0.527000
0.5;0.527000;0.518899;0.524000;0.517999
0.5;0.517999;0.489100;0.548999;0.5
0.5;0.5;0.499300;0.5;0.498000
0.5;0.505000;0.502199;0.5;0.501999
0.5;0.494;0.498000;0.448999;0.499000
0.5;0.5;0.496499;0.484999;0.491
0.5;0.490000;0.481900;0.496000;0.495000
0.5;0.496000;0.494;0.491999;0.497
0.5;0.500999;0.506999;0.511000;0.501999
0.5;0.497999;0.491999;0.494;0.498000
0.5;0.498000;0.498000;0.497;0.5
0.5;0.5;0.5;0.497;0.497
0.5;0.497;0.503;0.503;0.503999
0.5;0.503999;0.515999;0.506;0.503999
0.5;0.503999;0.488;0.502000;0.501000
0.5;0.501000;0.5;0.472999;0.448999
0.5;0.448999;0.460299;0.530999;0.497999
0.5;0.497999;0.499200;0.466999;0.502000
0.5;0.502000;0.505499;0.533000;0.499000
0.5;0.499000;0.4953;0.469000;0.500999
0.5;0.5139;0.536700;0.497;0.500999
0.5;0.488099;0.468499;0.503999;0.500999
0.5;0.500999;0.5002;0.5;0.501000
0.5;0.5;0.505099;0.503;0.500999
0.5;0.502000;0.504000;0.503;0.472000
0.5;0.505000;0.501999;0.534999;0.536999
0.5;0.470999;0.492899;0.469000;0.497
0.5;0.530000;0.506500;0.503;0.503
0.5;0.503;0.527799;0.501000;0.502000
0.5;0.503;0.498000;0.500999;0.5
0.5;0.499000;0.479999;0.503;0.500999
0.5;0.500999;0.499400;0.497999;0.502000
0.5;0.502000;0.504199;0.506;0.506
0.5;0.506;0.503399;0.533999;0.5
0.5;0.5;0.497700;0.470000;0.500999
0.5;0.500999;0.506500;0.503999;0.508000
0.5;0.508000;0.500999;0.5;0.497
0.5;0.497;0.499099;0.488;0.488999
0.5;0.488999;0.5167;0.506999;0.503999
0.5;0.503999;0.463000;0.497;0.502000
0.5;0.502000;0.511299;0.5;0.494999
0.5;0.494999;0.496500;0.530999;0.502000
0.5;0.502000;0.526199;0.476000;0.511000
0.5;0.511000;0.490000;0.494;0.489999
0.5;0.489999;0.485300;0.494999;0.495000
0.5;0.495000;0.495699;0.5;0.512
0.5;0.500999;0.495999;0.487000;0.467999
0.5;0.478999;0.484300;0.480999;0.481999
0.5;0.481999;0.496699;0.508000;0.484999
0.5;0.511000;0.494;0.500999;0.527000
0.5;0.475000;0.491;0.496000;0.481000
0.5;0.506999;0.4938;0.474000;0.484999
0.5;0.484999;0.485399;0.497;0.500999
0.5;0.500999;0.494800;0.491;0.488
0.5;0.488;0.501999;0.470999;0.474000
0.5;0.474000;0.459099;0.485999;0.494
0.5;0.494;0.517900;0.511000;0.512
0.5;0.512;0.506999;0.514000;0.500999
0.5;0.500999;0.509;0.500999;0.504000
0.5;0.504000;0.497;0.505000;0.497999
0.5;0.497999;0.518000;0.500999;0.515000
0.5;0.515000;0.481999;0.509999;0.491
0.5;0.491999;0.483600;0.487000;0.496000
0.5;0.538000;0.572399;0.502000;0.576999
0.5;0.533999;0.506;0.531999;0.506
0.5;0.506;0.496000;0.558;0.482999
0.5;0.482999;0.503999;0.431000;0.512
0.5;0.512;0.521900;0.509999;0.503
0.5;0.503;0.514099;0.522999;0.518000
0.5;0.518000;0.481400;0.513000;0.491999
0.5;0.491999;0.498699;0.501999;0.504000
0.5;0.504000;0.498899;0.504000;0.503999
0.5;0.503999;0.502000;0.501999;0.506
0.5;0.506;0.509999;0.496000;0.493000
0.5;0.493000;0.484999;0.502000;0.484999
0.5;0.484999;0.483000;0.488;0.479999
0.5;0.479999;0.484299;0.488999;0.501000
0.5;0.501000;0.5047;0.506999;0.5
0.5;0.5;0.509;0.456000;0.453999
0.5;0.453999;0.451000;0.496000;0.504000
0.5;0.504000;0.501199;0.512999;0.510999
0.5;0.510999;0.508800;0.512;0.505000
0.5;0.505000;0.505000;0.507999;0.506999
0.5;0.515000;0.506;0.493000;0.493000
0.5;0.484999;0.494999;0.497;0.497
0.5;0.497;0.487000;0.484000;0.481000
0.5;0.481000;0.488;0.493000;0.5
0.5;0.5;0.502000;0.494;0.485999
0.5;0.485999;0.494999;0.497;0.506
0.5;0.506;0.503999;0.495999;0.512999
0.5;0.512999;0.5;0.516000;0.499000
0.5;0.499000;0.512;0.494999;0.515999
0.5;0.515999;0.513000;0.515999;0.512
0.5;0.513000;0.535999;0.509;0.536999
0.5;0.527999;0.530000;0.533000;0.508000
0.5;0.515999;0.496000;0.518000;0.511000
0.5;0.511000;0.500999;0.506999;0.506999
0.5;0.506;0.5;0.499000;0.473999
0.5;0.474999;0.502000;0.472999;0.493000
0.5;0.493000;0.482100;0.509;0.515999
0.5;0.515999;0.501199;0.502000;0.491
0.5;0.491;0.497900;0.497999;0.510000
0.5;0.510000;0.502499;0.514000;0.475999
0.5;0.473999;0.546300;0.464999;0.557000
0.5;0.559000;0.516999;0.543999;0.532999
0.5;0.532999;0.520000;0.543000;0.489000
0.5;0.488;0.475999;0.483999;0.486999
0.5;0.488;0.481999;0.487000;0.484000
0.5;0.484000;0.481999;0.439;0.447000
0.5;0.447000;0.451999;0.469000;0.478000
0.5;0.478000;0.485000;0.503999;0.473999
0.5;0.473999;0.483999;0.472999;0.512
0.5;0.512;0.510000;0.515000;0.503999
0.5;0.503999;0.492999;0.483000;0.484999
0.5;0.484999;0.487000;0.503999;0.498000
0.5;0.498000;0.506;0.497;0.494999
0.5;0.495999;0.487000;0.493000;0.5
0.5;0.5;0.501999;0.500999;0.512999
0.5;0.512;0.511000;0.509;0.499000
0.5;0.499000;0.493000;0.5;0.500999
0.5;0.500999;0.506;0.497;0.505000
0.5;0.505000;0.497;0.503999;0.494
0.5;0.494;0.500999;0.5;0.509
0.5;0.509;0.500999;0.503;0.484999
0.5;0.484999;0.486000;0.483000;0.493000
0.5;0.493000;0.491999;0.497999;0.491
