<bid_top>;<c>;<c2>;p
0.06787889;0.35373;0.40451097;0.00238075
0.37457234;0.39366278;0.6967816;-0.16559875
0.06840268;0.52644074;0.26068714;-0.00684523
0.07025964;0.5051238;0.022501526;0.02258656
0.20897359;0.33930904;0.07082726;-0.11612737
0.06155745;0.7280382;0.36988458;0.03128877
0.0928462;0.26561725;0.29888633;2E-08
0.09284622;0.4186796;0.27560487;-0.03126556
0.09284622;0.37883803;0.22932404;-0.03107986
0.09284622;0.36633265;0.19789463;-0.03126556
0.06158066;0.41571653;0.16650432;-2.321E-05
0.06176636;0.6199151;0.026641823;0.0001857
0.06158066;0.5836086;0.030555805;0.00078921
0.06155745;0.82673776;0.15496759;0.02627042
0.06195206;0.500027;0.1368476;0.02659623
0.06236987;0.6652725;0.20875883;0.0263108
0.08782787;0.3369701;0.32564208;0.0432984
0.08854829;0.45122218;0.26958138;0.04267004
0.08868067;0.47084832;0.2482668;0.04268888
0.13112627;0.4791783;0.27733704;0.00027192
0.13121833;0.6478476;0.28157702;-0.0463543
0.13136955;0.3629129;0.22933048;-0.04522319
0.13139819;0.6709707;0.2776204;-0.04394484
0.08486403;0.54581165;0.23184158;0.00389631
0.08614636;0.55149287;0.23550048;0.04618503
0.08745335;0.28961104;0.16587171;0.04775579
0.08876034;0.42962158;0.20037097;0.04770648
0.13233139;0.41672;0.24474569;0.0053931
0.13520914;0.71539384;0.3082645;0.00382234
0.13646682;0.9495218;0.18648736;0.00382232
0.13772449;0.3195138;0.33455956;0.00364971
0.13903148;0.51103306;0.2921663;-0.13580056
0.14028914;0.46344352;0.27807945;-0.13728016
0.1413742;0.32227308;0.22256327;-0.13836522
0.00323092;0.67742753;0.18454924;-0.00022194
0.00300898;0.3592622;0.11787853;0
0.00300898;0.48949808;0.15839188;0
0.00300898;0.48669973;0.17752929;0
0.00300898;0.5014714;0.17384379;0
0.00300898;0.6280226;0.22246173;0
0.00300898;0.56728387;0.21240743;0
0.00300898;0.6641441;0.24327108;0.00078912
0.00300898;0.1912789;0.10511303;0.00207145
0.00300898;0.7008766;0.24743272;0.00323048
0.0037981;0.5521839;0.21675177;0.00377302
0.00508043;0.5676791;0.2177218;0.19360085
